Timestamp,UG/PG,Year,attendance,sleepSchedule,nightOwl,branchDifficulty,CGPA,clubsNo,clubEvents,physicalSports,meditation,musicReg,musicHappy,newsPolitics,religion,supportFamily,posToNeg,lifeSatisfaction,happinessGeneral
3/7/2025 21:50:21,Under-grad,2,10,5,5,8,8.7,3,9,5,2,9,3-Neutral & Balanced,6,8,6,4,5,5
3/7/2025 22:29:24,Under-grad,1,8,6,5,7,9.1,0,3,6,2,9,3-Neutral & Balanced,4,2,10,7,8,7
3/7/2025 22:37:40,Under-grad,2,5,6,6,9,7.5,3,4,3,1,9,2-Melancholic & Emotional,9,1,8,5,2,5
3/7/2025 22:43:09,Under-grad,1,4,7,6,6,9,4,8,10,1,10,3-Neutral & Balanced,3,2,8,8,7,7
3/7/2025 22:47:38,Under-grad,2,4,4,5,10,8.96,4,10,5,1,10,3-Neutral & Balanced,3,6,10,6,8,9
3/7/2025 22:49:13,Under-grad,2,4,7,2,6,9,1,1,3,1,8,3-Neutral & Balanced,1,2,8,7,8,8
3/7/2025 22:58:40,Under-grad,1,10,5,4,7,9,0,2,1,1,10,3-Neutral & Balanced,10,10,3,7,10,7
3/7/2025 23:04:44,Under-grad,2,3,2,10,4,7,3,9,7,1,10,4-Upbeat & Cheerful,3,4,6,6,7,7
3/7/2025 23:09:47,Under-grad,2,8,10,6,8,8,3,10,1,1,10,5-Extremely Happy & Euphoric,3,8,9,9,9,9
3/7/2025 23:11:59,Post-grad,1,10,8,4,3,9,1,6,8,1,8,3-Neutral & Balanced,5,5,9,9,10,9
3/7/2025 23:22:42,Under-grad,2,9,8,5,7,7.15,1,4,9,1,9,3-Neutral & Balanced,2,6,3,6,5,5
3/7/2025 23:31:10,Under-grad,3,5,7,4,8,8.97,3,4,7,1,7,2-Melancholic & Emotional,7,7,9,7,7,7
3/7/2025 23:34:50,Under-grad,3,6,8,5,9,8.48,0,1,4,1,7,4-Upbeat & Cheerful,3,5,8,7,7,7
3/7/2025 23:47:33,Under-grad,3,7,7,4,5,9.5,2,7,7,1,8,3-Neutral & Balanced,8,7,9,8,9,9
3/8/2025 0:14:31,Under-grad,2,3,3,7,6,9.47,4,7,4,2,8,3-Neutral & Balanced,4,3,7,6,5,6
3/8/2025 0:24:57,Under-grad,2,5,3,8,9,8.4,0,1,9,2,10,2-Melancholic & Emotional,7,5,6,3,4,5
3/8/2025 0:51:00,Under-grad,3,2,4,7,7,8.1,0,3,7,1,8,4-Upbeat & Cheerful,1,5,8,8,7,7
3/8/2025 0:57:46,Under-grad,3,7,6,6,8,9.16,0,1,4,2,9,2-Melancholic & Emotional,2,7,7,7,8,8
3/8/2025 1:04:27,Post-grad,1,5,4,7,10,8,7,9,10,3,10,3-Neutral & Balanced,8,9,8,8,7,7
3/8/2025 2:15:14,Under-grad,2,6,2,8,8,7,3,7,4,1,8,3-Neutral & Balanced,6,5,5,5,5,5
3/8/2025 2:17:39,Under-grad,2,1,7,8,7,8.8,3,2,4,2,10,4-Upbeat & Cheerful,8,6,9,8,9,10
3/8/2025 8:45:42,Under-grad,2,1,10,4,7,6.94,0,1,8,1,8,3-Neutral & Balanced,3,2,1,1,1,2
3/8/2025 9:57:52,Post-grad,2,10,9,4,3,9.4,0,5,6,2,10,3-Neutral & Balanced,8,5,8,7,7,7
3/8/2025 10:15:48,Under-grad,2,9,8,3,8,9,0,10,6,5,10,3-Neutral & Balanced,1,10,8,5,10,7
3/8/2025 10:49:36,Under-grad,2,8,7,8,7,8.1,0,1,3,1,9,3-Neutral & Balanced,2,2,7,8,8,8
3/8/2025 10:51:10,Under-grad,2,6,6,1,5,7.8,0,3,6,2,7,4-Upbeat & Cheerful,4,7,4,4,3,5
3/8/2025 10:53:14,Under-grad,2,7,2,3,8,7,0,1,2,1,9,4-Upbeat & Cheerful,6,2,9,8,4,5
3/8/2025 11:20:41,Post-grad,2,10,10,2,10,8.56,3,8,10,5,2,3-Neutral & Balanced,10,1,6,5,4,2
3/8/2025 12:13:47,Under-grad,2nd,2,1,9,5,Idk,2,7,1,2,7,3-Neutral & Balanced,2,7,2,5,5,5
3/8/2025 13:39:07,Under-grad,3rd year,5,10,7,5,8.16,5,10,8,1,10,4-Upbeat & Cheerful,7,8,9,6,5,7
3/8/2025 23:27:14,Under-grad,2,8,6,4,2,9.3,5,5,9,2,7,3-Neutral & Balanced,8,6,9,8,7,8
3/8/2025 23:29:47,Under-grad,2nd,8,3,7,7,7.3,2,5,9,1,9,2-Melancholic & Emotional,1,1,4,7,4,3
